listing_id,comments,canceled,notice
13596007,20,0.0,
13596451,6,0.0,
13596689,9,0.0,
13597055,1,0.0,
13597841,2,0.0,
13597883,2,0.0,
13598348,1,0.0,
13598486,5,0.4,24.0
13599755,6,0.0,
13599871,3,0.0,
13600060,16,0.0,
13600948,4,0.0,
13601057,3,0.0,
13601242,30,0.0,
13601427,3,0.3333333333333333,112.0
13601559,1,0.0,
13601617,4,0.0,
13602152,14,0.07142857142857142,4.0
13602835,11,0.09090909090909091,21.0
13603144,69,0.0,
13603192,20,0.0,
13603356,20,0.0,
13603538,14,0.0,
13604159,226,0.01327433628318584,30.0
13604317,2,0.0,
13604333,6,0.16666666666666666,6.0
13604499,7,0.14285714285714285,4.0
13606215,13,0.0,
13609107,3,0.0,
13609583,6,0.16666666666666666,18.0
13609678,3,0.0,
13610003,1,0.0,
13610164,40,0.025,5.0
13610833,3,0.6666666666666666,4.0
13611122,18,0.0,
13611154,10,0.0,
13611553,1,0.0,
13612994,1,0.0,
13613307,7,0.14285714285714285,6.0
13613675,10,0.0,
13613808,4,0.25,3.0
13614962,1,0.0,
13615234,18,0.0,
13615509,7,0.14285714285714285,15.0
13615825,2,0.0,
13616165,24,0.0,
13616561,22,0.0,
13616657,25,0.04,156.0
13617226,50,0.0,
13617614,1,0.0,
13618309,1,0.0,
13618315,8,0.125,53.0
13618824,4,0.5,12.5
13619311,114,0.0,
13619457,7,0.0,
13619784,1,0.0,
13619926,2,0.0,
13620210,104,0.028846153846153848,82.33333333333333
13620282,1,0.0,
13620509,8,0.0,
13620569,2,0.0,
13620622,1,0.0,
13621020,1,1.0,8.0
13621365,103,0.0,
13621465,2,0.0,
13621520,15,0.0,
13621765,13,0.0,
13621881,12,0.0,
13622477,89,0.011235955056179775,5.0
13622773,161,0.0,
13623764,41,0.04878048780487805,29.5
13626425,5,0.0,
13627221,1,0.0,
13627746,19,0.05263157894736842,78.0
13628189,25,0.0,
13628193,1,0.0,
13628242,3,0.0,
13628617,5,0.0,
13628894,1,1.0,11.0
13629023,9,0.3333333333333333,15.0
13629629,23,0.043478260869565216,2.0
13630282,29,0.0,
13630408,1,0.0,
13630421,48,0.020833333333333332,7.0
13630748,18,0.05555555555555555,26.0
13631127,28,0.0,
13631244,18,0.1111111111111111,13.5
13631430,108,0.0,
13632454,19,0.0,
13632770,1,0.0,
13633165,20,0.0,
13633942,4,0.25,24.0
13634035,69,0.0,
13634516,79,0.0,
13635217,68,0.0,
13635739,12,0.0,
13636303,27,0.0,
13638430,1,0.0,
13639853,53,0.0,
13639977,6,0.0,
13639982,1,0.0,
13640745,30,0.03333333333333333,3.0
13642712,12,0.08333333333333333,4.0
13642752,64,0.0,
13644216,10,0.0,
13644563,2,0.0,
13644986,23,0.0,
13645138,58,0.0,
13645663,1,0.0,
13645824,6,0.3333333333333333,2.0
13645913,3,0.0,
13646230,1,0.0,
13646541,15,0.0,
13646690,4,0.0,
13646696,1,0.0,
13647217,3,0.0,
13647447,10,0.0,
13648611,3,0.3333333333333333,3.0
13649116,45,0.0,
13649721,18,0.1111111111111111,65.5
13649949,24,0.041666666666666664,6.0
13650368,3,1.0,16.666666666666668
13650403,4,0.0,
13650493,23,0.043478260869565216,3.0
13651046,1,0.0,
13651163,9,0.0,
13651467,10,0.0,
13651605,15,0.0,
13651711,1,0.0,
13651715,2,0.0,
13651780,15,0.0,
13651853,31,0.0,
13652219,60,0.0,
13652979,1,0.0,
13654149,3,0.0,
13654579,10,0.0,
13655394,7,0.0,
13656172,33,0.09090909090909091,69.0
13656468,1,0.0,
13656575,32,0.0,
13657415,14,0.0,
13657438,4,0.0,
13662352,21,0.0,
13662527,1,0.0,
13662830,14,0.0,
13662845,5,0.0,
13662873,80,0.0,
13662912,4,0.0,
13662999,69,0.0,
13663053,57,0.0,
13663187,15,0.0,
13663264,94,0.0,
13664053,15,0.0,
13664204,15,0.0,
13664528,16,0.0625,5.0
13664968,7,0.0,
13665139,16,0.0625,29.0
13665568,7,0.0,
13666354,10,0.0,
13666503,1,0.0,
13667061,13,0.0,
13668457,7,0.0,
13668721,2,0.0,
13668782,35,0.14285714285714285,73.8
13668920,16,0.0,
13669680,2,0.0,
13670366,1,0.0,
13670800,29,0.034482758620689655,3.0
13670879,2,0.0,
13671064,5,0.0,
13671947,3,0.0,
13672092,15,0.0,
13672328,22,0.0,
13672765,31,0.03225806451612903,32.0
13672779,2,0.0,
13672870,1,0.0,
13673025,84,0.023809523809523808,18.0
13673045,16,0.125,12.5
13673226,6,0.0,
13673544,11,0.09090909090909091,4.0
13677366,19,0.0,
13678216,38,0.0,
13678376,12,0.0,
13679552,3,0.0,
13679755,3,0.0,
13679880,8,0.125,15.0
13679954,27,0.037037037037037035,12.0
13681594,14,0.0,
13681962,4,0.0,
13684452,13,0.0,
13684667,1,1.0,36.0
13684832,18,0.0,
13684921,21,0.047619047619047616,4.0
13685534,1,0.0,
13685785,14,0.07142857142857142,73.0
13686687,7,0.0,
13687746,15,0.13333333333333333,27.5
13689565,15,0.0,
13689690,184,0.0,
13691283,44,0.0,
13691322,14,0.0,
13692242,54,0.018518518518518517,34.0
13692370,1,0.0,
13692759,26,0.0,
13692946,45,0.0,
13694729,10,0.1,22.0
13694744,1,0.0,
13694933,11,0.0,
13695226,4,0.5,114.0
13695320,1,0.0,
13695802,1,0.0,
13696098,2,0.0,
13696434,23,0.0,
13696443,63,0.0,
13696569,7,0.0,
13696902,5,0.0,
13697433,1,0.0,
13699101,10,0.0,
13703593,12,0.08333333333333333,57.0
13705050,1,0.0,
13706061,10,0.0,
13707378,7,0.2857142857142857,2.0
13708323,16,0.125,7.0
13708391,4,0.0,
13709347,12,0.0,
13709713,1,0.0,
13709805,24,0.0,
13710318,7,0.0,
13710391,3,0.0,
13710399,1,0.0,
13710411,3,0.0,
13711102,5,0.0,
13711407,1,1.0,15.0
13711897,1,0.0,
13712199,2,0.0,
13712419,2,0.0,
13712565,10,0.0,
13712575,7,0.0,
13713099,2,0.0,
13713431,2,0.0,
13713757,1,0.0,
13713957,290,0.0,
13717928,14,0.0,
13719436,90,0.011111111111111112,8.0
13720058,33,0.0,
13720464,21,0.0,
13720496,10,0.0,
13720652,23,0.0,
13720661,166,0.0,
13720745,2,0.5,15.0
13721398,4,0.0,
13722086,1,0.0,
13722313,1,0.0,
13722386,2,0.0,
13722710,4,0.0,
13723424,16,0.0,
13723451,1,0.0,
13723617,1,0.0,
13724127,4,0.25,24.0
13724152,42,0.023809523809523808,27.0
13724380,36,0.027777777777777776,50.0
13724738,18,0.0,
13725227,4,0.0,
13725446,35,0.11428571428571428,10.75
13726063,22,0.0,
13726146,8,0.0,
13726152,87,0.0,
13726253,2,0.0,
13728532,2,0.0,
13728698,4,0.0,
13728776,3,0.0,
13729108,8,0.0,
13729592,109,0.0,
13730624,1,0.0,
13730651,77,0.0,
13730734,7,0.0,
13730761,2,0.0,
13730826,33,0.0,
13731061,9,0.0,
13731084,8,0.125,80.0
13731642,4,0.0,
13731704,1,0.0,
13731821,10,0.0,
13731968,1,0.0,
13732080,2,0.0,
13732238,120,0.016666666666666666,35.0
13732292,37,0.05405405405405406,16.5
13735914,5,0.0,
13736308,3,0.0,
13737095,5,0.4,8.0
13738060,21,0.0,
13738190,25,0.0,
13738395,1,0.0,
13738416,69,0.0,
13738513,53,0.05660377358490566,25.666666666666668
13738715,43,0.023255813953488372,75.0
13738905,3,0.0,
13738915,2,0.0,
13738984,10,0.0,
13739071,8,0.125,86.0
13739146,3,0.0,
13739311,51,0.0,
13739685,10,0.0,
13739688,2,0.0,
13740309,23,0.08695652173913043,11.5
13741095,39,0.0,
13741237,1,0.0,
13741652,2,0.0,
13742022,2,0.0,
13742028,6,0.0,
13742385,35,0.0,
13742645,1,0.0,
13744498,4,0.0,
13744968,4,0.0,
13744994,3,0.0,
13745215,14,0.07142857142857142,28.0
13745491,13,0.07692307692307693,24.0
13745714,1,0.0,
13745959,127,0.0,
13746003,1,0.0,
13746028,5,0.0,
13746187,1,0.0,
13747284,1,1.0,7.0
13747708,25,0.0,
13748670,10,0.0,
13749393,14,0.0,
13749497,40,0.0,
13749515,4,0.0,
13749720,23,0.0,
13749845,10,0.0,
13750690,39,0.07692307692307693,5.666666666666667
13751234,54,0.0,
13751274,11,0.0,
13754210,1,0.0,
13755110,6,0.16666666666666666,86.0
13755184,3,0.0,
13755887,3,0.0,
13756023,1,0.0,
13756058,25,0.04,2.0
13756497,1,1.0,15.0
13756776,5,0.0,
13757200,11,0.0,
13757843,30,0.0,
13757856,8,0.0,
13758262,4,0.0,
13758288,47,0.0425531914893617,15.5
13759394,52,0.0,
13759781,8,0.5,9.5
13761336,33,0.0,
13762247,3,0.0,
13762479,17,0.0,
13762867,18,0.05555555555555555,34.0
13762931,102,0.00980392156862745,6.0
13762972,51,0.058823529411764705,44.666666666666664
13762995,7,0.0,
13763221,30,0.0,
13763334,89,0.02247191011235955,14.5
13763507,32,0.0,
13763886,3,0.0,
13763897,1,0.0,
13764420,60,0.016666666666666666,7.0
13764436,8,0.125,26.0
13764751,2,0.5,2.0
13764918,1,0.0,
13765769,32,0.0,
13766193,80,0.0,
13766344,11,0.09090909090909091,25.0
13766921,22,0.0,
13767397,33,0.030303030303030304,39.0
13767485,73,0.0821917808219178,15.0
13767495,1,0.0,
13767530,3,0.3333333333333333,9.0
13767996,186,0.0,
13768239,5,0.0,
13769236,1,0.0,
13770585,40,0.0,
13772385,6,0.16666666666666666,12.0
13772751,7,0.14285714285714285,6.0
13773586,4,0.0,
13773755,13,0.0,
13773933,7,0.0,
13774853,18,0.05555555555555555,31.0
13775275,11,0.09090909090909091,3.0
13775380,2,0.0,
13775401,10,0.0,
13775404,3,0.3333333333333333,3.0
13775884,1,0.0,
13776126,18,0.05555555555555555,36.0
13776671,26,0.038461538461538464,46.0
13776821,42,0.0,
13776998,3,0.0,
13777257,2,0.0,
13777944,29,0.0,
13778244,14,0.0,
13778818,5,0.6,4.333333333333333
13778971,37,0.08108108108108109,129.66666666666666
13779187,8,0.125,3.0
13779681,4,0.0,
13780478,22,0.0,
13780515,29,0.0,
13780719,38,0.0,
13782160,31,0.0,
13782958,44,0.022727272727272728,411.0
13783473,1,0.0,
13783576,2,0.0,
13784598,3,0.0,
13784851,2,0.0,
13785488,3,0.3333333333333333,45.0
13786684,1,0.0,
13787243,55,0.0,
13787731,2,0.0,
13789968,3,0.0,
13790388,1,0.0,
13790624,7,0.0,
13790851,3,0.3333333333333333,2.0
13790961,3,0.3333333333333333,2.0
13791346,8,0.0,
13791404,103,0.0,
13791644,13,0.07692307692307693,2.0
13792116,7,0.0,
13792333,41,0.0,
13792640,5,0.4,65.0
13792904,20,0.1,8.5
13793236,2,0.5,3.0
13793685,3,0.3333333333333333,2.0
13793727,18,0.0,
13795001,65,0.0,
13795517,2,0.0,
13796112,35,0.05714285714285714,73.0
13796326,156,0.0,
13796579,10,0.0,
13796982,36,0.0,
13797356,4,0.0,
13799205,12,0.0,
13799317,3,0.0,
13799568,17,0.0,
13800395,258,0.0,
13800605,4,0.0,
13800649,8,0.0,
13800814,115,0.0,
13801370,1,0.0,
13803856,38,0.0,
13803989,5,0.0,
13804067,30,0.0,
13804532,7,0.14285714285714285,38.0
13804551,5,0.4,38.0
13804933,3,0.0,
13805219,2,0.0,
13805901,33,0.0,
13806334,15,0.0,
13806400,11,0.0,
13806422,3,0.0,
13806992,19,0.05263157894736842,83.0
13807796,7,0.0,
13807864,9,0.0,
13807891,1,0.0,
13807973,10,0.0,
13808453,40,0.0,
13808824,2,0.0,
13809207,2,0.0,
13809624,43,0.0,
13809803,5,0.2,16.0
13809988,29,0.034482758620689655,6.0
13810018,71,0.0,
13810219,32,0.03125,5.0
13810288,94,0.010638297872340425,4.0
13811694,20,0.05,45.0
13812832,8,0.5,10.25
13813138,28,0.0,
13814646,6,0.0,
13817325,3,0.0,
13817489,129,0.0,
13817737,1,1.0,87.0
13818314,1,1.0,2.0
13818696,5,0.0,
13818742,41,0.04878048780487805,60.5
13819031,80,0.025,149.0
13819074,9,0.1111111111111111,150.0
13819109,3,0.0,
13819415,2,0.0,
13819469,28,0.03571428571428571,28.0
13819748,28,0.0,
13820358,23,0.0,
13820601,10,0.0,
13820863,27,0.0,
13821552,43,0.023255813953488372,32.0
13822302,10,0.3,24.666666666666668
13822351,10,0.2,24.5
13822564,3,0.0,
13822759,22,0.18181818181818182,97.25
13823668,17,0.0,
13824370,8,0.0,
13824508,10,0.0,
13824526,10,0.0,
13825068,5,0.2,10.0
13825070,4,0.25,2.0
13825133,12,0.0,
13825572,1,0.0,
13825941,8,0.375,45.666666666666664
13826144,5,0.0,
13826342,2,0.0,
13826736,6,0.16666666666666666,22.0
13826971,20,0.15,61.0
13827258,110,0.0,
13827645,3,0.0,
13827802,96,0.0,
13827892,15,0.0,
13827988,3,0.0,
13828108,29,0.0,
13828373,1,0.0,
13828432,20,0.05,6.0
13828517,8,0.125,117.0
13829061,7,0.0,
13829252,23,0.0,
13833113,15,0.06666666666666667,3.0
13833231,1,1.0,13.0
13833612,12,0.0,
13834362,6,0.0,
13834600,4,0.0,
13834712,1,0.0,
13834752,3,0.0,
13834869,15,0.0,
13834897,1,0.0,
13834959,2,0.0,
13835167,4,0.0,
13835555,6,0.3333333333333333,20.0
13835599,57,0.03508771929824561,44.5
13835666,9,0.0,
13835786,26,0.0,
13835873,61,0.0,
13835874,6,0.0,
13836032,6,0.0,
13836041,53,0.03773584905660377,11.0
13836324,72,0.013888888888888888,4.0
13836677,3,0.0,
13836809,1,0.0,
13837255,1,0.0,
13838113,2,0.0,
13838744,49,0.0,
13838835,1,0.0,
13838862,69,0.014492753623188406,24.0
13839127,11,0.0,
13839213,26,0.0,
13839762,2,0.0,
13841172,22,0.09090909090909091,20.5
13841252,6,0.0,
13841484,45,0.022222222222222223,18.0
13842045,5,0.0,
13842326,10,0.2,37.0
13842348,71,0.0,
13842569,4,0.0,
13843049,10,0.1,34.0
13843230,5,0.0,
13843362,34,0.0,
13844050,9,0.0,
13844389,3,0.3333333333333333,17.0
13844841,2,0.0,
13845424,22,0.0,
13846818,2,0.0,
13847008,1,0.0,
13847477,18,0.0,
13849659,3,0.0,
13850025,1,0.0,
13850432,1,0.0,
13851199,1,1.0,11.0
13851334,1,0.0,
13851982,12,0.08333333333333333,4.0
13852215,15,0.0,
13852860,1,0.0,
13853177,2,0.0,
13853392,1,0.0,
13853804,1,0.0,
13853913,10,0.2,21.0
13853928,3,0.0,
13854372,117,0.0,
13854439,22,0.0,
13854556,1,0.0,
13855476,1,0.0,
13855635,22,0.045454545454545456,26.0
13856315,150,0.0,
13856431,3,0.3333333333333333,3.0
13856624,56,0.0,
13857732,2,0.5,12.0
13857977,4,0.0,
13858218,1,0.0,
13860074,2,0.0,
13860300,2,0.0,
13860428,38,0.0,
13860698,2,0.0,
13860876,37,0.08108108108108109,36.0
13861404,24,0.16666666666666666,20.75
13861442,6,0.0,
13861685,3,0.0,
13862077,12,0.08333333333333333,6.0
13862103,16,0.0,
13862453,12,0.0,
13863076,1,0.0,
13863361,14,0.0,
13863430,8,0.0,
13864359,38,0.0,
13864480,3,0.0,
13864654,3,0.0,
13868059,2,0.5,2.0
13868955,19,0.0,
13869489,5,0.0,
13869640,5,0.0,
13869816,71,0.0,
13869938,9,0.0,
13870992,79,0.012658227848101266,2.0
13871765,4,0.0,
13871851,129,0.015503875968992248,4.0
13872256,16,0.0625,5.0
13873136,3,0.0,
13873467,52,0.0,
13873743,87,0.0,
13874163,10,0.0,
13874211,11,0.0,
13875008,14,0.07142857142857142,6.0
13875130,181,0.0,
13876062,5,0.0,
13876100,1,0.0,
13878321,11,0.09090909090909091,154.0
13878750,2,0.0,
13878852,3,0.0,
13880145,4,0.25,11.0
13880373,1,0.0,
13880416,46,0.0,
13880840,4,0.0,
13881035,6,0.0,
13881201,16,0.0625,2.0
13881911,8,0.0,
13882209,1,0.0,
13882292,23,0.0,
13882366,1,1.0,2.0
13882605,45,0.0,
13883040,3,0.0,
13886374,12,0.0,
13887905,30,0.03333333333333333,11.0
13888081,11,0.2727272727272727,34.0
13888692,24,0.0,
13888825,2,0.0,
13888902,3,0.0,
13889387,1,0.0,
13889446,9,0.0,
13889900,15,0.0,
13889909,1,0.0,
13890005,6,0.0,
13890298,4,0.25,6.0
13890915,17,0.0,
13891606,3,0.0,
13891813,6,0.16666666666666666,10.0
13891875,2,0.0,
13892119,19,0.10526315789473684,27.0
13892179,7,0.0,
13892292,9,0.1111111111111111,8.0
13892489,16,0.1875,34.333333333333336
13892496,3,0.0,
13893195,22,0.0,
13893600,39,0.0,
13893646,18,0.1111111111111111,2.5
13893828,22,0.045454545454545456,29.0
13893947,20,0.0,
13894358,23,0.0,
13894446,5,0.0,
13894873,3,0.0,
13895241,93,0.0,
13895749,22,0.045454545454545456,79.0
13895983,4,0.0,
13896042,2,0.0,
13896134,3,0.0,
13897236,16,0.0625,9.0
13897264,1,0.0,
13898615,18,0.05555555555555555,23.0
13899080,2,0.0,
13899278,1,0.0,
13899697,183,0.0,
13899749,79,0.0,
13901231,1,0.0,
13902282,3,0.0,
13902442,18,0.0,
13903095,31,0.0,
13903668,16,0.125,57.0
13903789,2,0.0,
13904141,1,1.0,26.0
13904350,1,0.0,
13904443,5,0.0,
13904500,50,0.0,
13904572,7,0.0,
13904837,1,0.0,
13904925,140,0.0,
13904970,2,0.0,
13905660,27,0.0,
13905817,1,0.0,
13905874,20,0.1,5.0
13906109,2,0.0,
13906520,3,0.0,
13906524,6,0.16666666666666666,23.0
13907292,4,0.0,
13907315,1,0.0,
13907432,14,0.0,
13907795,1,0.0,
13907937,69,0.0,
13908309,74,0.0,
13908571,23,0.043478260869565216,7.0
13908941,62,0.0,
13909434,9,0.0,
13910495,3,0.0,
13911493,55,0.0,
13912398,54,0.037037037037037035,44.0
13912893,20,0.0,
13912983,2,0.0,
13912987,1,0.0,
13913142,4,0.0,
13913175,91,0.0,
13913467,33,0.0,
13913678,2,0.0,
13913804,1,0.0,
13914002,3,0.3333333333333333,95.0
13914187,22,0.0,
13914228,3,0.0,
13917754,127,0.007874015748031496,11.0
13917837,1,0.0,
13917843,10,0.0,
13917981,17,0.0,
13918110,1,1.0,4.0
13918128,1,0.0,
13918305,1,0.0,
13918351,40,0.0,
13918681,1,0.0,
13918696,3,0.3333333333333333,24.0
13918833,8,0.0,
13918877,10,0.0,
13919295,1,0.0,
13919454,101,0.009900990099009901,2.0
13919475,7,0.0,
13920329,3,0.0,
13920577,1,0.0,
13920861,3,1.0,14.0
13920934,31,0.0,
13921191,19,0.10526315789473684,3.5
13921193,2,0.0,
13921898,49,0.0,
13922060,2,0.0,
13922193,6,0.16666666666666666,28.0
13922207,34,0.08823529411764706,119.0
13922625,48,0.0,
13922810,37,0.0,
13922991,1,1.0,5.0
13923395,1,0.0,
13923743,22,0.0,
13924054,15,0.0,
13924625,25,0.0,
13925153,6,0.0,
13927417,42,0.0,
13929699,10,0.0,
13930926,7,0.0,
13931982,5,0.0,
13932061,4,0.0,
13932184,34,0.029411764705882353,28.0
13932288,22,0.0,
13932865,5,0.2,44.0
13932929,4,0.0,
13933641,3,0.0,
13933672,31,0.0,
13934236,5,0.0,
13934250,11,0.0,
13934353,24,0.0,
13934511,1,1.0,3.0
13934999,2,0.0,
13935054,12,0.0,
13935567,49,0.04081632653061224,3.5
13935969,2,0.0,
13936866,2,0.0,
13937374,1,1.0,2.0
13937775,19,0.05263157894736842,36.0
13938364,12,0.0,
13938408,23,0.0,
13938859,19,0.05263157894736842,14.0
13939755,2,0.0,
13939842,3,0.0,
13940004,2,0.0,
13940016,1,1.0,22.0
13940269,1,0.0,
13940336,18,0.0,
13940462,24,0.0,
13940674,23,0.0,
13943742,1,0.0,
13945503,2,0.0,
13946071,31,0.0,
13946216,3,0.0,
13946325,1,0.0,
13947033,47,0.0425531914893617,6.5
13947298,6,0.16666666666666666,19.0
13947299,81,0.024691358024691357,3.5
13947707,1,1.0,6.0
13948189,9,0.0,
13948499,2,0.0,
13948675,9,0.1111111111111111,5.0
13948830,34,0.0,
13948833,2,1.0,22.0
13949473,4,0.0,
13950345,6,0.16666666666666666,4.0
13950614,3,0.3333333333333333,4.0
13950643,7,0.14285714285714285,23.0
13950733,44,0.0,
13950778,2,0.0,
13950872,22,0.0,
13951394,21,0.047619047619047616,95.0
13951401,170,0.0,
13951648,47,0.0,
13952138,1,0.0,
13952276,17,0.0,
13952346,4,0.0,
13952980,10,0.0,
13953084,20,0.05,85.0
13953154,1,0.0,
13953263,25,0.08,75.5
13953349,4,0.0,
13954081,16,0.0625,9.0
13954304,2,0.0,
13954669,1,0.0,
13955294,41,0.0,
13955427,3,0.3333333333333333,18.0
13956068,5,0.0,
13956199,14,0.07142857142857142,7.0
13956227,7,0.0,
13956903,5,0.0,
13957125,16,0.125,8.0
13957457,5,0.0,
13957476,3,0.3333333333333333,14.0
13957480,19,0.05263157894736842,38.0
13957604,1,0.0,
13958516,1,0.0,
13958733,18,0.05555555555555555,2.0
13961533,12,0.0,
13962345,31,0.0,
13963097,21,0.047619047619047616,2.0
13963124,2,0.0,
13963341,13,0.07692307692307693,3.0
13963673,3,0.3333333333333333,12.0
13963848,4,0.0,
13964164,37,0.05405405405405406,18.0
13964783,11,0.2727272727272727,16.0
13964975,1,1.0,22.0
13965013,60,0.016666666666666666,4.0
13965028,31,0.0,
13965252,3,0.0,
13965296,20,0.0,
13965574,5,0.0,
13967130,3,0.0,
13967729,5,0.6,27.666666666666668
13967752,1,1.0,12.0
13968241,32,0.0,
13969012,2,0.0,
13969326,29,0.0,
13969512,1,0.0,
13969576,34,0.058823529411764705,9.5
13969729,8,0.25,3.0
13970202,49,0.0,
13970216,7,0.0,
13970399,110,0.0,
13970430,2,0.0,
13970668,10,0.1,11.0
13970712,16,0.0,
13970915,61,0.03278688524590164,3.5
13971818,2,0.0,
13972119,2,0.0,
13972311,6,0.0,
13972483,14,0.0,
13974202,20,0.0,
13974804,12,0.0,
13975404,15,0.0,
13975451,178,0.011235955056179775,2.0
13975674,38,0.0,
13977000,16,0.0625,48.0
13978860,10,0.2,22.5
13982858,1,0.0,
13983536,1,0.0,
13984052,30,0.0,
13984079,13,0.07692307692307693,134.0
13984734,13,0.0,
13985204,1,0.0,
13985325,1,1.0,6.0
13985493,25,0.0,
13985774,3,0.0,
13985960,3,0.0,
13986175,1,0.0,
13986368,3,0.0,
13986692,1,0.0,
13987608,5,0.0,
13987998,4,0.0,
13988114,1,0.0,
13988470,1,0.0,
13988864,25,0.0,
13989508,9,0.0,
13990293,2,0.0,
13990828,26,0.0,
13990853,1,0.0,
13990916,19,0.0,
13990940,14,0.07142857142857142,38.0
13992545,4,0.5,7.0
13992867,28,0.07142857142857142,31.0
13993034,17,0.0,
13993287,38,0.10526315789473684,21.0
13993327,16,0.0,
13993328,31,0.0,
13993607,36,0.0,
13993679,2,0.0,
13993705,5,0.0,
13994135,7,0.14285714285714285,14.0
13994187,1,0.0,
13994533,15,0.26666666666666666,5.5
13995016,1,0.0,
13996056,1,0.0,
13996117,2,0.5,4.0
13996133,7,0.0,
13996291,107,0.0,
13996669,3,0.0,
14000727,3,0.6666666666666666,11.5
14001118,2,0.0,
14001650,23,0.0,
14002620,52,0.038461538461538464,67.0
14003736,1,1.0,3.0
14003878,27,0.0,
14004362,5,0.2,30.0
14004944,38,0.02631578947368421,10.0
14004971,23,0.0,
14004975,32,0.0,
14005139,25,0.04,17.0
14005159,10,0.0,
14005186,2,0.0,
14005438,136,0.0,
14006221,21,0.19047619047619047,21.5
14007016,15,0.0,
14007717,15,0.0,
14007909,23,0.0,
14008145,8,0.0,
14009115,3,0.0,
14009289,54,0.0,
14009900,13,0.0,
14010516,13,0.0,
14010675,10,0.0,
14010729,13,0.0,
14011444,1,1.0,10.0
14012050,30,0.13333333333333333,25.5
14012564,23,0.0,
14013002,1,1.0,12.0
14013343,1,0.0,
14017473,148,0.006756756756756757,4.0
14017977,62,0.0,
14018327,2,0.0,
14018564,1,0.0,
14018756,8,0.0,
14019321,1,0.0,
14019675,1,0.0,
14019831,34,0.0,
14020170,21,0.047619047619047616,55.0
14020329,38,0.0,
14020555,47,0.0,
14020701,102,0.0196078431372549,25.5
14021467,3,0.0,
14022801,5,0.0,
14023071,4,0.0,
14023202,2,0.0,
14023365,9,0.1111111111111111,5.0
14024853,87,0.0,
14024929,3,0.0,
14025599,7,0.14285714285714285,25.0
14027531,2,0.0,
14028512,1,0.0,
14029424,23,0.0,
14032640,8,0.0,
14033483,55,0.01818181818181818,2.0
14033577,13,0.0,
14033734,1,1.0,3.0
14034375,55,0.0,
14034410,2,0.0,
14034502,48,0.0,
14034504,1,0.0,
14034553,4,0.25,13.0
14035085,53,0.0,
14035087,13,0.0,
14035683,15,0.0,
14036956,5,0.0,
14038598,4,0.0,
14038878,22,0.0,
14039284,9,0.0,
14039388,34,0.08823529411764706,81.0
14039627,1,0.0,
14039724,15,0.06666666666666667,87.0
14039732,58,0.0,
14040206,3,0.0,
14040669,3,0.3333333333333333,3.0
14040923,2,0.0,
14040934,9,0.0,
14041306,1,0.0,
14041539,27,0.037037037037037035,9.0
